Date,Open,High,Low,Close,Adj Close,Volume,12,26,MACD
2018-04-17,8071.66015625,8285.9599609375,7881.72021484375,7902.08984375,7902.08984375,6900879872,7666.7809778311575,7755.76372223116,-88.98274440000205
2018-04-18,7944.43017578125,8197.7998046875,7886.009765625,8163.419921875,8163.419921875,6529909760,7743.1869703384955,7785.967896008667,-42.7809256701712
2018-04-19,8159.27001953125,8298.6904296875,8138.77978515625,8294.3095703125,8294.3095703125,7063209984,7827.97506369007,7823.631399924983,4.343663765086603
2018-04-20,8286.8798828125,8880.23046875,8244.5400390625,8845.830078125,8845.830078125,8438110208,7984.568144471473,7899.3657675656505,85.20237690582235
2018-04-21,8848.7900390625,8997.5703125,8652.150390625,8895.580078125,8895.580078125,7548550144,8124.7238278122,7973.173810399686,151.55001741251453
2018-04-22,8925.0595703125,9001.6396484375,8779.6103515625,8802.4599609375,8802.4599609375,6629899776,8228.990925996772,8034.613505596093,194.3774204006786
2018-04-23,8794.3896484375,8958.5498046875,8788.8095703125,8930.8798828125,8930.8798828125,6925190144,8336.973843114076,8101.014706809279,235.95913630479663
2018-04-24,8934.33984375,9732.6103515625,8927.830078125,9697.5,9697.5,10678800384,8546.285560680128,8219.291182540033,326.99437814009434
2018-04-25,9701.0302734375,9745.3203125,8799.83984375,8845.740234375,8845.740234375,11083100160,8592.355510688312,8265.701466938857,326.654043749455
2018-04-26,8867.3203125,9281.509765625,8727.08984375,9281.509765625,9281.509765625,8970559488,8698.379242623969,8340.956511834553,357.42273078941616
2018-04-27,9290.6298828125,9375.4697265625,8987.0498046875,8987.0498046875,8987.0498046875,7566289920,8742.790098470283,8388.821155054893,353.96894341538973
2018-04-28,8939.26953125,9412.08984375,8931.990234375,9348.48046875,9348.48046875,7805479936,8835.973232615539,8459.915117928007,376.058114687532
2018-04-29,9346.41015625,9531.490234375,9193.7099609375,9419.080078125,9419.080078125,8853000192,8925.68197828713,8530.971859007566,394.7101192795635
2018-04-30,9426.1103515625,9477.1396484375,9166.8095703125,9240.5498046875,9240.5498046875,8673920000,8974.123182444035,8583.538315254911,390.58486718912354
2018-05-01,9251.4697265625,9255.8798828125,8891.0498046875,9119.009765625,9119.009765625,7713019904,8996.413426047446,8623.206449478777,373.2069765686683
2018-05-02,9104.599609375,9256.51953125,9015.1396484375,9235.919921875,9235.919921875,7558159872,9033.260579303591,8668.596428056424,364.66415124716696
2018-05-03,9233.9697265625,9798.330078125,9188.150390625,9743.8603515625,9743.8603515625,10207299584,9142.583621319887,8748.251774846043,394.33184647384405
2018-05-04,9695.5,9779.2001953125,9585.9599609375,9700.759765625,9700.759765625,8217829888,9228.456874376516,8818.812980794377,409.64389358213884
2018-05-05,9700.2802734375,9964.5,9695.1201171875,9858.150390625,9858.150390625,7651939840,9325.332800035882,8895.806047799259,429.526752236623
2018-05-06,9845.3095703125,9940.1396484375,9465.25,9654.7998046875,9654.7998046875,7222280192,9376.02003155735,8952.031263283909,423.98876827344066
2018-05-07,9645.669921875,9665.849609375,9231.5302734375,9373.009765625,9373.009765625,7394019840,9375.55691372132,8983.216630786572,392.34028293474876
2018-05-08,9380.8701171875,9462.75,9127.76953125,9234.8203125,9234.8203125,7415869952,9353.905128906845,9001.854922665047,352.05020624179815
2018-05-09,9223.73046875,9374.759765625,9031.6201171875,9325.1796875,9325.1796875,7226890240,9349.485830226935,9025.80607383479,323.67975639214455
